DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
231706463,2023-02-28,2023-01-31,1245,Devonshire,THEFT OF IDENTITY,63,M,W,,Invest Cont,11000    BALBOA                       BL
220214664,2022-08-13,2022-08-13,1230,Rampart,BATTERY - SIMPLE ASSAULT,37,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1700    BEVERLY                      BL
220914472,2022-09-30,2022-09-28,1300,Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),28,M,W,,Invest Cont,7400 N  SEPULVEDA                    BL
230809155,2023-04-26,2023-04-21,0110,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,M,Z,,Invest Cont,600    LEVERING                     AV
230510525,2023-06-30,2023-06-30,0300,Harbor,BURGLARY FROM VEHICLE,58,M,W,,Invest Cont,1200 S  AVERILL                      AV
220211324,2022-06-03,2022-06-03,1910,Rampart,BATTERY - SIMPLE ASSAULT,46,M,W,STICK,Invest Cont,CAMBRIA
221011598,2022-07-14,2022-07-09,1030,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,18900    VOSE                         ST
230805677,2023-02-09,2023-02-09,0900,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1900 S  BEDFORD                      ST
231005109,2023-01-29,2023-01-29,1547,West Valley,BURGLARY,53,M,O,,Invest Cont,8200    RHEA                         AV
232011433,2023-06-11,2023-06-11,1600,Olympic,OTHER ASSAULT,32,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3100    WILSHIRE                     BL
231207974,2023-03-06,2023-03-06,1525,77th Street,CRIMINAL THREATS - NO WEAPON DISPLAYED,17,F,B,VERBAL THREAT,Invest Cont,2900 W  70TH                         ST
231908884,2023-05-05,2023-05-05,1900,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14500    POLK                         ST
220916580,2022-11-26,2022-11-26,1220,Van Nuys,BRANDISH WEAPON,25,M,H,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Adult Arrest,14000    RIVERSIDE                    DR
221012269,2022-08-01,2022-08-01,0739,West Valley,THEFT OF IDENTITY,30,F,H,,Invest Cont,6900    AMIGO                        AV
220221957,2022-12-20,2022-12-20,1200,Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,23,F,H,VERBAL THREAT,Adult Arrest,1200 S  ALVARADO                     ST
222018957,2022-10-11,2022-10-09,1903,Olympic,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",56,M,K,,Invest Cont,3400 W  3RD                          ST
220416104,2022-12-08,2022-12-07,0945,Hollenbeck,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),23,M,W,,Invest Cont,MULTNOMAH                    ST
221418045,2022-10-22,2022-10-22,1730,Pacific,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",59,M,W,,Invest Cont,DELTA
222011958,2022-07-03,2022-07-03,2320,Olympic,BRANDISH WEAPON,31,M,B,ICE PICK,Invest Cont,3700    WILSHIRE                     BL
231806537,2023-02-18,2023-02-18,1620,Southeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",35,M,H,MACHETE,Invest Cont,200 W  MANCHESTER                   AV
220817410,2022-11-18,2022-11-16,1305,West LA,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",32,F,H,,Invest Cont,11800    SANTA MONICA                 BL
230907416,2023-03-28,2023-03-24,1815,Van Nuys,BURGLARY FROM VEHICLE,53,M,B,,Invest Cont,14800    VENTURA                      BL
231709345,2023-05-08,2023-03-20,1500,Devonshire,THEFT OF IDENTITY,35,M,O,,Invest Cont,18500    COMMUNITY                    ST
220320717,2022-11-24,2022-11-24,1250,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",53,M,H,MACHETE,Invest Cont,PINAFORE
231804162,2023-01-04,2023-01-04,0310,Southeast,"BURGLARY, ATTEMPTED",58,F,H,,Invest Cont,2200 E  111TH                        ST
230112174,2023-05-11,2023-05-11,2030,Central,BURGLARY FROM VEHICLE,22,M,O,,Invest Cont,12TH
220613138,2022-07-13,2022-07-13,1740,Hollywood,BRANDISH WEAPON,42,M,B,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,ORANGE
220815803,2022-10-20,2022-10-20,0400,West LA,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11600    MONTANA                      AV
221714387,2022-09-30,2022-09-07,1250,Devonshire,THEFT OF IDENTITY,89,F,W,,Invest Cont,22200    JAMES ALAN CIR
221510818,2022-06-08,2022-06-08,1320,N Hollywood,OTHER ASSAULT,14,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7000    ETHEL                        AV
230105360,2023-01-21,2023-01-12,1750,Central,BIKE - STOLEN,27,M,A,,Invest Cont,800 N  ALAMEDA                      ST
